address,id,inspector,comment,number,x,y,visitors,Name
"Valgeranna küla, Pärnu linn",73,,,EEVPA2023RT0075,6471837.254,521791.949,,Valgerand
"Valkla küla, Kuusalu vald, Harju maakond",225,,,EEVHA2023APL0348,6595969.145,576550.08,,Valkla rand
"Tõrva linn, Tõrva vald, Valga maakond",61,Väino Ratasepp,,,6431471.118,614144.292,300,Vanamõisa järve supluskoht
"Pärnu linn, Pärnu linn",137,Reelika Tammai,,,6470982.9,527234.9,500,Vana-Pärnu rand
"Pardiranna, Varnja alevik, Peipsiääre vald, Tartu maakond",238,Väino Ratasepp,,,6488020.68,689047.36,,Varnja aleviku Pardiranna supluskoht
"Väike-Rõsna küla, Setomaa vald, Võru maakond",71,Kaili Luik,,,6432985.014,714000.329,50,Värska Sanatooriumi supluskoht
"Vasalemma alevik, Lääne-Harju vald, Harju maakond",213,,,,6565997.256,516045.005,,Vasalemma karjääri veekogu
"Haapsalu linn, Haapsalu linn",123,Lea Kiis,,EEVLA2023LK0035,6535074.721,472417.23,100,Vasikaholmi supluskoht
"Vaskjala küla, Rae vald, Harju maakond",243,,,EEVHA2023APL0344,6579909.652,553486.941,,Vaskjala veehoidla
"Vastemõisa küla, Põhja-Sakala vald, Viljandi maakond",242,,,,6478842.46,584764.45,,Vastemõisa küla supluskoht
"Tartu mnt, Elva linn, Elva vald, Tartu maakond",59,Margit Matt,,,6456804.84,641352.13,1000,Verevi järve supluskoht
"Vesiroosi tervisepark, Rapla linn, Rapla vald, Rapla maakond",161,Heleri Robtsenkov,,,6540273.239,546721.455,50,Vesiroosi tervisepark
"Viitina järv, Viitina küla, Rõuge vald, Võru maakond",216,,,EEVVO2020KAL0009,6398204.752,675680.791,,Viitina järv
Viljandi linn,74,Kaili Luik,,,6469940.201,593980.51,400,Viljandi järve supluskoht
"Võsu alevik, Haljala vald, Lääne-Viru maakond",104,Liisu Tamm,,VXX2023TU0800,6606240.536,610879.705,1500,Võsu supluskoht
