,name,type,wikipedia,abbrev,geometry
231,Łódź Władysław Reymont,mid,http://en.wikipedia.org/wiki/%C5%81%C3%B3d%C5%BA_W%C5%82adys%C5%82aw_Reymont_Airport,EPLL,POINT (19.403214874403695 51.727207045169955)
232,Alma Ata N.W.,mid and military,,BXJ,POINT (76.87826400966476 43.355419083791865)
233,Jiamusi Dongjiao,mid,http://en.wikipedia.org/wiki/Jiamusi_Dongjiao_Airport,JMU,POINT (130.4562047044068 46.843015022337944)
234,Mudanjiang Hailang,major,http://en.wikipedia.org/wiki/Mudanjiang_Hailang_Airport,MDG,POINT (129.5801515322203 44.53429362999352)
235,Severomorsk-3 (Murmansk N.E.),military major,http://en.wikipedia.org/wiki/Severomorsk-3,ULMM,POINT (33.29035276162853 69.0168711826804)
236,Mosul Int'l,mid,http://en.wikipedia.org/wiki/Mosul_International_Airport,OSB,POINT (43.145802 36.308601)
237,Rostov N.,military mid,,,POINT (39.635399634366465 47.277420920286694)
238,Rostov S.W.,mid,,,POINT (39.797221534514875 47.1158577255835)
239,Oulu,mid,http://en.wikipedia.org/wiki/Oulu_Airport,OUL,POINT (25.372837470430696 64.92879923588488)
240,Bordeaux,major,http://en.wikipedia.org/wiki/Bordeaux_-_M%C3%A9rignac_Airport,BOD,POINT (-0.7017934490752431 44.832110866267385)
241,Mandelieu,mid,http://en.wikipedia.org/wiki/Cannes_%E2%80%93_Mandelieu_Airport,CEQ,POINT (6.954316120289373 43.54609798704497)
242,St Gatien,mid,http://en.wikipedia.org/wiki/Deauville_-_Saint-Gatien_Airport,DOL,POINT (0.158653528230218 49.361660998660916)
243,Lille-Lesquin,mid,http://en.wikipedia.org/wiki/Lille_Airport,LIL,POINT (3.1059649979981345 50.57164239295806)
244,Toulouse-Blagnac,major,http://en.wikipedia.org/wiki/Toulouse-Blagnac_Airport,TLS,POINT (1.3735091855115267 43.63046256616009)
245,Fukuoka,major,http://en.wikipedia.org/wiki/Fukuoka_Airport,FUK,POINT (130.44418954188373 33.58481643325734)
246,Hiroshima-Nishi,mid,http://en.wikipedia.org/wiki/Hiroshima-Nishi_Airport,HIW,POINT (132.419372741681 34.37138156288289)
247,Nagoya,mid,http://en.wikipedia.org/wiki/Nagoya_Airfield,NKM,POINT (136.9196283841399 35.254053205286695)
248,Sendai,mid,http://en.wikipedia.org/wiki/Sendai_Airport,SDJ,POINT (140.93024738136907 38.138207561528674)
249,Kirkenes Hoybuktmoen,mid,http://en.wikipedia.org/wiki/Kirkenes_Airport%2C_H%C3%B8ybuktmoen,KKN,POINT (29.891348950040616 69.72383181136918)
250,Marechal Rondon Int'l,mid,http://en.wikipedia.org/wiki/Marechal_Rondon_International_Airport,CGB,POINT (-56.120177475472424 -15.651147019195495)
251,Hercilio Luz Int'l,major,http://en.wikipedia.org/wiki/Herc%C3%ADlio_Luz_International_Airport,FLN,POINT (-48.544812204959904 -27.664627694163833)
252,Joinville-Lauro C. de Loyola,mid,http://en.wikipedia.org/wiki/Joinville-Lauro_Carneiro_de_Loyola_Airport,JOI,POINT (-48.80164981656161 -26.224294137478456)
253,Presidente Castro Pinto Int'l,mid,http://en.wikipedia.org/wiki/Presidente_Castro_Pinto_International_Airport,JPA,POINT (-34.9488925911125 -7.146174624020474)
254,Augusto Severo Int'l,major,http://en.wikipedia.org/wiki/Augusto_Severo_International_Airport,NAT,POINT (-35.24884101653892 -5.899120544771162)
255,Francisco Sa Carneiro,major,http://en.wikipedia.org/wiki/Francisco_S%C3%A1_Carneiro_Airport,OPO,POINT (-8.671272407196472 41.23687089204524)
256,Marechal Cunha Machado Int'l,mid,http://en.wikipedia.org/wiki/Marechal_Cunha_Machado_International_Airport,SLZ,POINT (-44.236234470049205 -2.5835092104301847)
257,Santos Air Force Base,military mid,http://en.wikipedia.org/wiki/Santos_Air_Force_Base,SSZ,POINT (-46.30527049310029 -23.9237590410637)
258,Teresina-Senador Petronio Portella,mid,http://en.wikipedia.org/wiki/Teresina_Airport,THE,POINT (-42.82124023178447 -5.06346299167191)
259,Viracopos-Campinas Int'l,mid,http://en.wikipedia.org/wiki/Viracopos-Campinas_International_Airport,VCP,POINT (-47.141079191101426 -23.00962390853391)
260,Eurico de Aguiar Salles,mid,http://en.wikipedia.org/wiki/Eurico_de_Aguiar_Salles_Airport,VIX,POINT (-40.28853687599133 -20.25741627594185)
261,Alicante,major,http://en.wikipedia.org/wiki/Alicante_Airport,ALC,POINT (-0.5572304403635879 38.286640899392886)
262,Almeria,mid,http://en.wikipedia.org/wiki/Almer%C3%ADa_Airport,LEI,POINT (-2.371601440591205 36.84776727096432)
263,Valencia,mid,http://en.wikipedia.org/wiki/Valencia_Airport,VLC,POINT (-0.4734749307716761 39.49145978844889)
264,Kiruna_Airport,mid,http://en.wikipedia.org/wiki/Kiruna_Airport,KRN,POINT (20.335152295489802 67.8256066056432)
265,Norrköping Airport,major,http://en.wikipedia.org/wiki/Norrk%C3%B6ping_Airport,NRK,POINT (16.23394076958144 58.583380501754064)
266,Husein Sastranegara Int'l,mid,http://en.wikipedia.org/wiki/Husein_Sastranegara_International_Airport,BDO,POINT (107.57561185220892 -6.900424083534088)
267,Rosario – Islas Malvinas Int'l,mid,http://en.wikipedia.org/wiki/Rosario_%E2%80%93_Islas_Malvinas_International_Airport,ROS,POINT (-60.78007872165863 -32.91622697438119)
268,Maceio/Zumbi dos Palmares Int'l,mid,http://en.wikipedia.org/wiki/Zumbi_dos_Palmares_International_Airport,MCZ,POINT (-35.79249512158329 -9.514941185401165)
