osm_id,code,fclass,name,x,y
"723726949","2722",museum,,21.342,42.363
"723726950","2502",bakery,,21.340,42.365
"723726951","2502",bakery,Bankai,21.293,42.379
"723726972","2301",restaurant,Restoranti Kalaja e Krujës,21.274,42.378
"723726975","2301",restaurant,,21.251,42.381
"723728019","2302",fast_food,Beni,21.237,42.375
"723747251","2564",car_wash,,21.251,42.381
"723747260","2951",comms_tower,,21.272,42.377
"723856440","2561",hairdresser,Frizeri - Ariani,21.160,42.377
"724419002","2252",pitch,,21.289,42.378
"724419009","2251",sports_centre,,21.323,42.373
"724419012","2544",furniture_shop,,21.326,42.372
"724419013","2544",furniture_shop,,21.326,42.372
"724419014","2724",memorial,,21.337,42.365
"724424489","2252",pitch,,21.289,42.378
"724424494","2724",memorial,,21.314,42.378
"724424504","2950",tower,,21.432,42.402
"724450836","2501",supermarket,Besimi,21.519,42.512
"724500143","2015",graveyard,,21.468,42.454
"724614546","2253",swimming_pool,,21.160,42.354
"724614591","2519",optician,Ambulanaca Specialistike e Syve,21.147,42.370
"724682625","2252",pitch,,20.750,42.221
"724682626","2252",pitch,,20.751,42.222
"724738230","2253",swimming_pool,,21.464,42.465
"724749011","2301",restaurant,Apollonia,21.159,42.372
"724749012","2502",bakery,Kosova - Jetoni,21.157,42.374
"724749013","2601",bank,Procredit,21.157,42.373
"725760028","2504",mall,Abi Çarshia,20.724,42.216
"725918062","2204",park,,21.467,42.332
"726910230","2001",police,Stacioni Policor,21.578,42.580
"726914285","2724",memorial,,21.519,42.511
"726969784","2252",pitch,,21.363,42.317
"726969786","2252",pitch,,21.363,42.317
"726969787","2252",pitch,,21.355,42.314
"727017540","2030",recycling,Paper Recycling colection center,21.133,42.598
"727059101","2501",supermarket,"Supermarketi Besa",21.257,42.228
"727201883","2301",restaurant,Restaurant Estrada,20.800,42.296
"727219154","2252",pitch,,21.381,42.374
"727222425","2084",college,,21.460,42.445
"727245714","2252",pitch,,20.742,42.277
"727262607","2252",pitch,,20.418,42.563
"727279909","2502",bakery,,21.161,42.376
